title,company,location,posted,link,found_on
"Analyst, Enterprise Business Intelligence",Comcast,"PA - Philadelphia, 1701 John F Kennedy Blvd",Posted 3 Days Ago,https://comcast.wd5.myworkdayjobs.com/en-US/Comcast_Careers/job/PA---Philadelphia-1701-John-F-Kennedy-Blvd/Analyst--Enterprise-Business-Intelligence_R436375,2026-05-02 16:52
"Analyst, Financial Business Intelligence",Sullivan & Cromwell,"New York, NY",Posted 2 Days Ago,https://stblaw.wd1.myworkdayjobs.com/en-US/careers/job/New-York-NY/Analyst--Financial-Business-Intelligence_R-2026-224,2026-05-02 16:56
Business Intelligence Analyst,Applied Materials,"Santa Clara,CA",Posted 2 Days Ago,https://amat.wd1.myworkdayjobs.com/en-US/External/job/Santa-ClaraCA/Business-Intelligence-Analyst_R2519741,2026-05-02 16:57
Business Intelligence Analyst,NVIDIA,"US, CA, Santa Clara",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/nvidiaexternalcareersite/job/US-CA-Santa-Clara/Business-Intelligence-Analyst_JR2014301,2026-05-04 11:00
Business Intelligence Analyst,Boeing,"USA - Auburn, WA",Posted 3 Days Ago,https://boeing.wd1.myworkdayjobs.com/en-US/EXTERNAL_CAREERS/job/USA---Auburn-WA/Business-Intelligence-Analyst_JR2026508713-1,2026-05-04 11:00
Business Intelligence Support Analyst,AAA The Auto Club Group,MI-HMMI Empl Work From Home,Posted 3 Days Ago,https://acg.wd1.myworkdayjobs.com/en-US/Careers/job/MI-HMMI-Empl-Work-From-Home/Business-Intelligence-Support-Analyst_JR16037,2026-05-04 11:01
Financial Data Analyst – Business Intelligence,Fifth Third Bank,"Cincinnati, OH",Posted 3 Days Ago,https://fifththird.wd5.myworkdayjobs.com/en-US/53careers/job/Cincinnati-OH/Associate-Data-Scientist_R66349,2026-05-04 11:01
Credit Business Intelligence Analyst,WEX Inc.,US - Remote,Posted Today,https://wexinc.wd5.myworkdayjobs.com/en-US/WEXInc/job/US---Remote/Credit-Business-Intelligence-Analyst_R21666,2026-05-04 15:31
