job_id,title,company,location,apply_url,status,notes
7871019,Sr. Software Developer (Infrastructure),Bandwidth,,https://job-boards.greenhouse.io/bandwidth/jobs/7871019?gh_src=my.greenhouse.search,failed,Form filling disabled
7722024003,"Software Developer 2 C# .NET Python, Azure AI",A3C41B8B71Eff8C4,,https://job-boards.greenhouse.io/a3c41b8b71eff8c4/jobs/7722024003?gh_src=my.greenhouse.search,failed,Form filling disabled
5208164008,Azure DevOps Engineer,Lightfeatheriollc,,https://job-boards.greenhouse.io/lightfeatheriollc/jobs/5208164008?gh_src=my.greenhouse.search,failed,Form filling disabled
5208161008,Azure Cloud/DevOps Engineer,Lightfeatheriollc,,https://job-boards.greenhouse.io/lightfeatheriollc/jobs/5208161008?gh_src=my.greenhouse.search,failed,Form filling disabled
5208167008,GCP Cloud/DevOps Engineer,Lightfeatheriollc,,https://job-boards.greenhouse.io/lightfeatheriollc/jobs/5208167008?gh_src=my.greenhouse.search,failed,Form filling disabled
4234799009,Staff DevOps & Site Reliability Engineer,Empowerpharmacy,,https://job-boards.greenhouse.io/empowerpharmacy/jobs/4234799009?gh_src=my.greenhouse.search,failed,Form filling disabled
7872631,"Senior Software Engineer, Data",Thealleninstitute,,https://job-boards.greenhouse.io/thealleninstitute/jobs/7872631?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
5127118007,Platform Engineer,Defenseunicorns,,https://job-boards.greenhouse.io/defenseunicorns/jobs/5127118007?gh_src=my.greenhouse.search,failed,Form filling disabled
7872642,"Senior Software Engineer, Fullstack",Thealleninstitute,,https://job-boards.greenhouse.io/thealleninstitute/jobs/7872642?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
7872683,"Senior Software Engineer, Platform",Thealleninstitute,,https://job-boards.greenhouse.io/thealleninstitute/jobs/7872683?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
5987001004,"Senior/Staff Data Scientist, Consumer Apps - Klover",Attain,,https://job-boards.greenhouse.io/attain/jobs/5987001004?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
5125872007,Senior Software Engineer,Defenseunicorns,,https://job-boards.greenhouse.io/defenseunicorns/jobs/5125872007?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
7849785,Senior Software Engineer II - Applied AI (Remote Eligible),Smartsheet,,https://job-boards.greenhouse.io/smartsheet/jobs/7849785?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
5126842007,AWS DevOps Engineer,Capstoneintegratedsolutions,,https://job-boards.greenhouse.io/capstoneintegratedsolutions/jobs/5126842007?gh_src=my.greenhouse.search,failed,Form filling disabled
5987001004,"Senior/Staff Data Scientist, Consumer Apps - Klover",Attain,,https://job-boards.greenhouse.io/attain/jobs/5987001004?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
5125872007,Senior Software Engineer,Defenseunicorns,,https://job-boards.greenhouse.io/defenseunicorns/jobs/5125872007?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
7849785,Senior Software Engineer II - Applied AI (Remote Eligible),Smartsheet,,https://job-boards.greenhouse.io/smartsheet/jobs/7849785?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
5987001004,"Senior/Staff Data Scientist, Consumer Apps - Klover",Attain,,https://job-boards.greenhouse.io/attain/jobs/5987001004?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
5125872007,Senior Software Engineer,Defenseunicorns,,https://job-boards.greenhouse.io/defenseunicorns/jobs/5125872007?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
7849785,Senior Software Engineer II - Applied AI (Remote Eligible),Smartsheet,,https://job-boards.greenhouse.io/smartsheet/jobs/7849785?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
5987001004,"Senior/Staff Data Scientist, Consumer Apps - Klover",Attain,,https://job-boards.greenhouse.io/attain/jobs/5987001004?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
5125872007,Senior Software Engineer,Defenseunicorns,,https://job-boards.greenhouse.io/defenseunicorns/jobs/5125872007?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
7849785,Senior Software Engineer II - Applied AI (Remote Eligible),Smartsheet,,https://job-boards.greenhouse.io/smartsheet/jobs/7849785?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
5987001004,"Senior/Staff Data Scientist, Consumer Apps - Klover",Attain,,https://job-boards.greenhouse.io/attain/jobs/5987001004?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
5125872007,Senior Software Engineer,Defenseunicorns,,https://job-boards.greenhouse.io/defenseunicorns/jobs/5125872007?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
7849785,Senior Software Engineer II - Applied AI (Remote Eligible),Smartsheet,,https://job-boards.greenhouse.io/smartsheet/jobs/7849785?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
5987001004,"Senior/Staff Data Scientist, Consumer Apps - Klover",Attain,,https://job-boards.greenhouse.io/attain/jobs/5987001004?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
5125872007,Senior Software Engineer,Defenseunicorns,,https://job-boards.greenhouse.io/defenseunicorns/jobs/5125872007?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
7849785,Senior Software Engineer II - Applied AI (Remote Eligible),Smartsheet,,https://job-boards.greenhouse.io/smartsheet/jobs/7849785?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
5987001004,"Senior/Staff Data Scientist, Consumer Apps - Klover",Attain,,https://job-boards.greenhouse.io/attain/jobs/5987001004?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
5125872007,Senior Software Engineer,Defenseunicorns,,https://job-boards.greenhouse.io/defenseunicorns/jobs/5125872007?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
7849785,Senior Software Engineer II - Applied AI (Remote Eligible),Smartsheet,,https://job-boards.greenhouse.io/smartsheet/jobs/7849785?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
5987001004,"Senior/Staff Data Scientist, Consumer Apps - Klover",Attain,,https://job-boards.greenhouse.io/attain/jobs/5987001004?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
5125872007,Senior Software Engineer,Defenseunicorns,,https://job-boards.greenhouse.io/defenseunicorns/jobs/5125872007?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
7849785,Senior Software Engineer II - Applied AI (Remote Eligible),Smartsheet,,https://job-boards.greenhouse.io/smartsheet/jobs/7849785?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
5987001004,"Senior/Staff Data Scientist, Consumer Apps - Klover",Attain,,https://job-boards.greenhouse.io/attain/jobs/5987001004?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
5125872007,Senior Software Engineer,Defenseunicorns,,https://job-boards.greenhouse.io/defenseunicorns/jobs/5125872007?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
7849785,Senior Software Engineer II - Applied AI (Remote Eligible),Smartsheet,,https://job-boards.greenhouse.io/smartsheet/jobs/7849785?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
5987001004,"Senior/Staff Data Scientist, Consumer Apps - Klover",Attain,,https://job-boards.greenhouse.io/attain/jobs/5987001004?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
5125872007,Senior Software Engineer,Defenseunicorns,,https://job-boards.greenhouse.io/defenseunicorns/jobs/5125872007?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
7849785,Senior Software Engineer II - Applied AI (Remote Eligible),Smartsheet,,https://job-boards.greenhouse.io/smartsheet/jobs/7849785?gh_src=my.greenhouse.search,skipped,Senior/Lead/Manager role
