title,company,location,posted,link,found_on
Business Intelligence Engineer,DTCC,"TX, United States",Posted Today,https://ebxr.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/213490,2026-05-05 16:42
Business Intelligence Engineer,DTCC,"TX, United States",Posted Today,https://ebxr.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/213546,2026-05-05 16:42
Business Intelligence Developer II,Atlantic Health System,"NJ, United States",Posted Today,https://erqh.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/28896,2026-05-07 14:12
"Developer, Business Intelligence",Quest Diagnostics,"Norristown, PA, United States",Posted Today,https://hdox.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/59323,2026-05-11 16:23
Financial & Business Intelligence Analyst,UCSF (University of California San Francisco),"San Francisco, CA, United States",Posted Today,https://iazuqy.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/859,2026-05-11 21:43
"Compliance-New York-Vice President, Business Intelligence-9347356",Goldman Sachs,"New York, NY, United States",Posted Today,https://hdpc.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/LateralHiring/job/172960,2026-05-13 15:23
Market Specialist (Business Intelligence Analyst),Southern Company,"Birmingham, AL, United States",Posted Today,https://emje.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/SouthernCompanyJobs/job/18951,2026-05-13 21:33
