title,company,location,posted,link,found_on
SQL Clarity Analytics Analyst II: Strategic Analytics,Hoag Hospital,"Irvine, CA, United States",Posted Today,https://iaucqy.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/128170,2026-05-07 18:42
"Data Analytics Analyst, Business Support",Southern Company,"Forest Park, GA, United States",Posted Today,https://emje.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/SouthernCompanyJobs/job/18850,2026-05-11 15:03
