title,company,location,posted,link,found_on
Data Engineer,EXL Service,United States,Posted 1 Day Ago,https://fa-ewjt-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2/job/13373,2026-05-08 14:12
Data Engineer,Fortive,"Remote, Brazil",Posted Today,https://ejta.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/9727,2026-05-12 14:12
