title,company,location,posted,link,found_on
Data Engineer Intern,AAA,"Costa Mesa, CA",Posted Today,—,https://ace.wd5.myworkdayjobs.com/en-US/careers/job/Costa-Mesa-CA/Data-Engineer-Intern_JR202635736,2026-05-05 20:15
Data Engineer I,Bristol-Myers Squibb,Hyderabad - TS - IN,Posted Today,1-3 yrs,https://bristolmyerssquibb.wd5.myworkdayjobs.com/en-US/BMS/job/Hyderabad---TS---IN/Data-Engineer-I_R1601482,2026-05-06 05:30
Data Engineer,Dentsu,3 Locations,Posted Today,—,https://dentsuaegis.wd3.myworkdayjobs.com/en-US/DAN_GLOBAL/job/DGS-India---Pune---Kharadi-EON-Free-Zone/Data-Engineer_R1121276-5,2026-05-06 05:45
"Data Engineer, GPS BI&T",Bristol-Myers Squibb,Hyderabad - TS - IN,Posted Today,8+ yrs,https://bristolmyerssquibb.wd5.myworkdayjobs.com/en-US/BMS/job/Hyderabad---TS---IN/Data-Engineer--GPS-BI-T_R1597626,2026-05-06 06:15
Data Engineer - Assistant Vice President,Citigroup,Tampa Florida United States,Posted Today,3-5 yrs,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Tampa-Florida-United-States/Data-Engineer---Assistant-Vice-President_26960171,2026-05-06 10:45
Data Engineer,Guidehouse,"US - TX, San Antonio",Posted Today,5+ yrs,https://guidehouse.wd1.myworkdayjobs.com/en-US/External/job/US---TX-San-Antonio/Data-Engineer_38372,2026-05-06 12:01
Data Engineer,Booz Allen Hamilton,2 Locations,Posted Today,2+ yrs,https://bah.wd1.myworkdayjobs.com/en-US/BAH_Jobs/job/Honolulu-HI/Data-Engineer_R0237400,2026-05-06 13:15
"Data Engineer / Data Platform Engineer Internship Fall 2026 Semester at the Dow Delivery Center at UIUC (Champaign, IL)",Dow Chemical,"Kankakee (IL, USA)",Posted Today,—,https://dow.wd1.myworkdayjobs.com/en-US/ExternalCareers/job/Kankakee-IL-USA/Data-Engineer---Data-Platform-Engineer-Internship-Fall-2026-Semester-at-the-Dow-Delivery-Center-at-UIUC--Champaign--IL-_R2066692,2026-05-06 15:15
Data Engineer,Guidehouse,"US - MD, Aberdeen",Posted Today,4+ yrs,https://guidehouse.wd1.myworkdayjobs.com/en-US/External/job/US---MD-Aberdeen/Data-Engineer_39095,2026-05-06 15:30
Data Engineer - Technical/User support,Caterpillar,2 Locations,Posted Today,—,https://cat.wd5.myworkdayjobs.com/en-US/CaterpillarCareers/job/Irving-Texas/Data-Engineer---Technical-User-support_R0000366221,2026-05-07 08:30
Process Reinvention Data Engineer,Accenture,,Posted Today,1 yrs,https://accenture.wd103.myworkdayjobs.com/en-US/AccentureCareers/job/Warsaw/Agentic-AI-Process-Transformation-Consultant--She-He-They----ICH-Europe_R00292155,2026-05-07 10:01
Data Engineer,Guidehouse,2 Locations,Posted Today,—,https://guidehouse.wd1.myworkdayjobs.com/en-US/External/job/US---VA-McLean/Data-Engineer_38300,2026-05-07 10:30
