title,company,location,posted,link,found_on
Power BI Engineer,FLIR Systems (Teledyne),"US - Camarillo, CA",Posted 2 Days Ago,https://flir.wd1.myworkdayjobs.com/en-US/flircareers/job/US---Camarillo-CA/Power-BI-Engineer_REQ34260,2026-05-02 17:12
Business Analyst,R1 RCM,"Remote, USA",Posted Today,https://r1rcm.wd1.myworkdayjobs.com/en-US/R1RCM/job/Remote-USA/Business-Analyst_R260000002688,2026-05-04 16:15
AI Business Analyst,MUFG Bank,"Jersey City, NJ",Posted 3 Days Ago,https://mufgub.wd3.myworkdayjobs.com/en-US/MUFG-Careers/job/Jersey-City-NJ/AI-Business-Analyst_10073502-WD,2026-05-04 16:15
"AI Business Analyst, AVP",MUFG Bank,"Jersey City, NJ",Posted 3 Days Ago,https://mufgub.wd3.myworkdayjobs.com/en-US/MUFG-Careers/job/Jersey-City-NJ/AI-Business-Analyst--AVP_10073521-WD,2026-05-04 16:15
