title,company,location,posted,link,found_on
Flight Software Developer,SAIC,"Albuquerque, NM, United States",Posted Today,https://eihu.fa.us8.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/2612088,2026-05-04 13:10
Software Developer 3,Oracle Corporation,"Nashville, TN, United States",Posted Today,https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/332708,2026-05-04 23:00
Software Developer 4,Oracle Corporation,"Nashville, TN, United States",Posted Today,https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/332747,2026-05-05 18:12
Software Developer - AI Business Analytics - Remote,Oracle Corporation,United States,Posted Today,https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/332757,2026-05-05 23:42
Software Developer 4,Oracle Corporation,"Nashville, TN, United States",Posted Today,https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/332746,2026-05-06 16:42
Software Developer 4,Oracle Corporation,United States,Posted Today,https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/328617,2026-05-07 23:12
Software Developer 3,Oracle Corporation,"Austin, TX, United States",Posted Today,https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/330328,2026-05-07 23:12
Software Developer 3,Oracle Corporation,"Burlington, MA, United States",Posted Today,https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/332978,2026-05-07 23:12
Software Developer 3,Oracle Corporation,"Nashville, TN, United States",Posted Today,https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/333398,2026-05-11 17:12
