job_id,title,company,location,role,url,found_at
281843d0-335a-46c5-9d21-d8a237e50723,Machine Learning Engineer,ExaCare AI,Remote,ML Engineer,https://ats.rippling.com/exacare-inc/jobs/281843d0-335a-46c5-9d21-d8a237e50723,2026-05-15 15:59 UTC
0bcea461-8766-487e-a5d4-55a59258f856,Machine Learning Engineer,ExaCare AI,"New York, NY",ML Engineer,https://ats.rippling.com/exacare-inc/jobs/0bcea461-8766-487e-a5d4-55a59258f856,2026-05-15 15:59 UTC
fac290f1-c493-48e1-b9eb-75a1379fc10e,Backend Engineer (US),Genios AI,Remote,Backend Engineer,https://ats.rippling.com/genios-ai/jobs/fac290f1-c493-48e1-b9eb-75a1379fc10e,2026-05-15 15:59 UTC
3dbd3b3c-d149-48c2-9696-06b92bfa3ed2,Software Engineer - AI Platform (US),Genios AI,"Santa Clara, CA",Software Engineer,https://ats.rippling.com/genios-ai/jobs/3dbd3b3c-d149-48c2-9696-06b92bfa3ed2,2026-05-15 15:59 UTC
5d81707c-ffbe-4c3c-b491-a348071ab237,Machine Learning Engineer (Computer Vision/Multimodal/Generative AI),SpreeAI,"San Francisco, CA",ML Engineer,https://ats.rippling.com/spreeai/jobs/5d81707c-ffbe-4c3c-b491-a348071ab237,2026-05-15 15:59 UTC
aa087086-dd4b-42be-a499-051546655e97,Machine Learning Engineer Intern (Computer Vision/Multimodal/Generative AI),SpreeAI,"San Francisco, CA",ML Engineer,https://ats.rippling.com/spreeai/jobs/aa087086-dd4b-42be-a499-051546655e97,2026-05-15 15:59 UTC
9f49ef8b-b65f-4499-93f8-f56648daada8,Mobile Software Engineer - Flagship Apps (iOS / Android / Web),SpreeAI,"San Francisco, CA",Software Engineer,https://ats.rippling.com/spreeai/jobs/9f49ef8b-b65f-4499-93f8-f56648daada8,2026-05-15 15:59 UTC
c52472cb-2671-45d7-b666-17196dc3df25,Mobile Software Engineer Intern — Flagship Apps (iOS / Android / Web),SpreeAI,"San Francisco, CA",Software Engineer,https://ats.rippling.com/spreeai/jobs/c52472cb-2671-45d7-b666-17196dc3df25,2026-05-15 15:59 UTC
d19b529a-386d-4d05-b084-9be82c8bcf1c,Software Engineer (AI Infrastructure / Training / Inference),SpreeAI,"San Francisco, CA",Software Engineer,https://ats.rippling.com/spreeai/jobs/d19b529a-386d-4d05-b084-9be82c8bcf1c,2026-05-15 15:59 UTC
ee513e29-2656-4a85-9e7d-ac1d9b23af6c,Software Engineer (Model Evaluation & Benchmarking),SpreeAI,"San Francisco, CA",Software Engineer,https://ats.rippling.com/spreeai/jobs/ee513e29-2656-4a85-9e7d-ac1d9b23af6c,2026-05-15 15:59 UTC
d34aed29-7a11-4e37-b5bc-e9317f82f0b1,Software Engineer Intern (AI Infrastructure / Training / Inference),SpreeAI,Hybrid,Software Engineer,https://ats.rippling.com/spreeai/jobs/d34aed29-7a11-4e37-b5bc-e9317f82f0b1,2026-05-15 15:59 UTC
d4836253-0588-4352-91a1-745d41a8cd33,Data Platform Engineer,Vector Health AI,Remote,Engineer,https://ats.rippling.com/vectorhealthai/jobs/d4836253-0588-4352-91a1-745d41a8cd33,2026-05-15 15:59 UTC
768ed3ba-700c-4c39-805f-0ef1057e881f,Full Stack Engineer,Vector Health AI,Remote,Full-Stack Engineer,https://ats.rippling.com/vectorhealthai/jobs/768ed3ba-700c-4c39-805f-0ef1057e881f,2026-05-15 15:59 UTC
