title,company,status,link,applied_on
Data Analyst,Unknown,applied,https://www1.jobdiva.com/portal/?a=svjdnwzkulao5hqo7t0ifgvj8s71sf01d7dtgdstyhdixakxt6ty85zljsdyhgz2&jr_id=69f1011eecbc8c2f73203108#/,2026-05-06 16:04
Data Engineer,Unknown,applied,https://www1.jobdiva.com/portal/?a=svjdnwzkulao5hqo7t0ifgvj8s71sf01d7dtgdstyhdixakxt6ty85zljsdyhgz2&jr_id=69f1011eecbc8c2f73203108#/,2026-05-12 16:03
Data Analyst,Unknown,applied,https://www1.jobdiva.com/portal/?a=svjdnwzkulao5hqo7t0ifgvj8s71sf01d7dtgdstyhdixakxt6ty85zljsdyhgz2&jr_id=69f1011eecbc8c2f73203108#/,2026-05-12 16:05
Data Analyst,Unknown,applied,https://www1.jobdiva.com/portal/?a=svjdnwzkulao5hqo7t0ifgvj8s71sf01d7dtgdstyhdixakxt6ty85zljsdyhgz2&jr_id=69f1011eecbc8c2f73203108#/,2026-05-13 16:03
Data Analyst,Unknown,applied,https://www1.jobdiva.com/portal/?a=svjdnwzkulao5hqo7t0ifgvj8s71sf01d7dtgdstyhdixakxt6ty85zljsdyhgz2&jr_id=69f1011eecbc8c2f73203108#/,2026-05-13 16:04
