title,company,location,posted,link,found_on
Software Engineer I,Oceaneering,"Hanover, MD, United States",Posted Today,https://ebfr.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobs/job/10383,2026-05-04 20:00
Software Engineer I - US Person,Parsons Corporation,"Phoenix, AZ, United States",Posted Today,https://icfcjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Aerospace/job/109372,2026-05-05 16:42
Software Engineer - Warehouse Management Systems (WMS),Staples,"Framingham, MA, United States",Posted Today,https://fa-exhh-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/StaplesRetail/job/68624,2026-05-05 17:12
