title,company,location,posted,experience,link,found_on
AI Engineer(Backend)- LMTS/SMTS/MTS,Salesforce,2 Locations,Posted Today,3+ yrs,https://salesforce.wd12.myworkdayjobs.com/en-US/External_Career_Site/job/India---Hyderabad/AI-Engineer-Backend---LMTS-SMTS-MTS_JR340189-1,2026-05-05 09:46
"Forward Deployed AI Engineer, Customer Adoption and Innovation",Red Hat,2 Locations,Posted Today,10+ yrs,https://redhat.wd5.myworkdayjobs.com/en-US/Jobs/job/Remote-US-NC/Forward-Deployed-AI-Engineer--Customer-Adoption-and-Innovation_R-052818,2026-05-05 13:30
AI Engineer,T-Mobile,"Bellevue, Washington",Posted Today,18 yrs,https://tmobile.wd1.myworkdayjobs.com/en-US/External/job/Bellevue-Washington/AI-Engineer_REQ349576-1,2026-05-06 15:15
AI Engineer,Mastercard,Remote - St. Louis,Posted Today,—,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Remote---St-Louis/AI-Engineer_R-277463,2026-05-06 15:30
Associate AI Engineer,T-Mobile,"Bellevue, Washington",Posted Today,18 yrs,https://tmobile.wd1.myworkdayjobs.com/en-US/External/job/Bellevue-Washington/Associate-AI-Engineer_REQ333189,2026-05-06 16:16
