title,company,location,posted,link,found_on
2026 Raytheon Part Time Co-op-Java Software Engineer (Remote),RTX,US-PA-STATE COLLEGE-5A ~ 302 Science Park Rd ~ BLDG 5A,Posted Today,100 yrs,https://globalhr.wd5.myworkdayjobs.com/en-US/REC_RTX_Ext_Gateway/job/US-PA-STATE-COLLEGE-5A--302-Science-Park-Rd--BLDG-5A/XMLNAME-2026-Raytheon-Part-Time-Co-op-Java-Software-Engineer--Remote-_01841272,2026-05-05 10:15
Software Engineer - OpenShift Networking,Red Hat,2 Locations,Posted Today,2+ yrs,https://redhat.wd5.myworkdayjobs.com/en-US/Jobs/job/Raleigh/Software-Engineer---OpenShift-Networking_R-055845,2026-05-05 10:32
Software Engineer - State National,Markel Corporation,Bedford TX,Posted Today,4 yrs,https://markelcorp.wd5.myworkdayjobs.com/en-US/GlobalCareers/job/Bedford-TX/Software-Engineer---State-National_R0023018,2026-05-05 10:45
Advanced Software Engineer,Invesco,2 Locations,Posted Today,3-5 yrs,https://invesco.wd1.myworkdayjobs.com/en-US/IVZ/job/Atlanta-Georgia/Adv-Eng--SIP_R-13382,2026-05-05 11:04
Software Engineer (Level 1),Northrop Grumman,United States-Virginia-Dulles,Posted Today,4 yrs,https://ngc.wd1.myworkdayjobs.com/en-US/Northrop_Grumman_External_Site/job/United-States-Virginia-Dulles/Software-Engineer--Level-1-_R10231948,2026-05-05 11:30
Embedded Software Engineer (Secret) - Level 5 (Chandler),Northrop Grumman,United States-Arizona-Chandler,Posted Today,12 yrs,https://ngc.wd1.myworkdayjobs.com/en-US/Northrop_Grumman_External_Site/job/United-States-Arizona-Chandler/Embedded-Software-Engineer--Secret----Level-5--Chandler-_R10220923,2026-05-05 12:02
Software Engineer  - (Execution) - Level 2 / 3,Northrop Grumman,United States-Alabama-Huntsville,Posted Today,5 yrs,https://ngc.wd1.myworkdayjobs.com/en-US/Northrop_Grumman_External_Site/job/United-States-Alabama-Huntsville/Software-Engineer-----Execution----Level-2---3_R10231870,2026-05-05 13:01
Software Engineer II,Pool Corporation,"Remote, MI",Posted Today,3-6 yrs,https://poolcorp.wd1.myworkdayjobs.com/en-US/POOLCORP/job/Remote-MI/Software-Engineer-II_R20580,2026-05-05 13:01
Software Engineer,SS&C Technologies,"Chicago, IL",Posted Today,2 yrs,https://ssctech.wd1.myworkdayjobs.com/en-US/SSCTechnologies/job/Chicago-IL/Software-Engineer_R42924-1,2026-05-05 13:45
Software Engineer,Wells Fargo,2 Locations,Posted Today,2+ yrs,https://wf.wd1.myworkdayjobs.com/en-US/WellsFargoJobs/job/IRVING-TX/Software-Engineer_R-530052,2026-05-05 13:46
Software Engineer - Full Stack,Insulet Corporation,2 Locations,Posted Today,2+ yrs,https://insulet.wd5.myworkdayjobs.com/en-US/insuletcareers/job/Guadalajara-Jalisco/Software-Engineer_REQ-2026-15050,2026-05-05 14:30
Software Engineer II,Walt Disney Company,3 Locations,Posted Today,3+ yrs,https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Glendale-CA-USA/Software-Engineer-II_10148565,2026-05-05 14:30
Software Engineer - DevOps Mobile,Walt Disney Company,"New York, NY, USA",Posted Today,3 yrs,https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/New-York-NY-USA/Software-Engineer---DevOps-Mobile_10143241,2026-05-05 14:46
Software Engineer II,Walt Disney Company,"Glendale, CA, USA",Posted Today,3+ yrs,https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Glendale-CA-USA/Software-Engineer-II_10143787-2,2026-05-05 15:31
Advanced Software Engineer,Warner Bros. Discovery,UT Salt Lake City 175 East 400 South,Posted Today,8+ yrs,https://warnerbros.wd5.myworkdayjobs.com/en-US/global/job/UT-Salt-Lake-City-175-East-400-South/Advanced-Software-Engineer_R000105189-1,2026-05-05 15:45
Electrical/Software Engineer I/II,WHOI (Woods Hole Oceanographic),"Onsite – Woods Hole, MA",Posted Today,—,https://whoi.wd5.myworkdayjobs.com/en-US/WHOI-External/job/Onsite--Woods-Hole-MA/Electrical-Software-Engineer-I-II_JR100525,2026-05-05 16:31
Full Stack .Net Software Engineer - REMOTE,Velera (PSCU Payments),Remote-USA,Posted Today,7+ yrs,https://velera.wd5.myworkdayjobs.com/en-US/VeleraCareers/job/Remote-USA/Software-Engineer-III--Java-Angular-API----REMOTE_8913-1,2026-05-05 16:45
