title,company,location,posted,link,found_on
Business Intelligence Analyst,NVIDIA,"US, CA, Santa Clara",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/nvidiaexternalcareersite/job/US-CA-Santa-Clara/Business-Intelligence-Analyst_JR2014301,2026-05-04 17:15
Business Intelligence Developer,State of Nebraska,"Lincoln, NE",Posted Today,https://son.wd108.myworkdayjobs.com/en-US/NebraskaStateCareers/job/Lincoln-NE/Business-Intelligence-Developer_JR2026-00025803,2026-05-04 17:16
Credit Business Intelligence Analyst,WEX Inc.,US - Remote,Posted Today,https://wexinc.wd5.myworkdayjobs.com/en-US/WEXInc/job/US---Remote/Credit-Business-Intelligence-Analyst_R21666,2026-05-04 17:16
