title,company,location,posted,link,found_on
Business Intelligence Specialist - Digital Learning - UTK,University of Tennessee,"Knoxville, TN, United States","May 15, 2026",https://fa-ewlq-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/7964,2026-05-16 22:52
Business Analyst,University of South Florida,"Tampa, FL, United States","May 15, 2026",https://fa-ewkd-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/USF/job/43467,2026-05-16 22:52
"Inventory Analyst, Allocation",RH (Restoration Hardware),"Corte Madera, CA, United States","May 15, 2026",https://hcqq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_5004/job/39995,2026-05-16 22:52
HR Data Analyst,University of Minnesota,"Memphis, TN, United States","May 15, 2026",https://ibqajb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/497,2026-05-16 22:52
Payroll and Commissions Analyst,Milestone Technologies,"Lake Oswego, OR, United States","May 15, 2026",https://fa-ewto-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/24480,2026-05-16 22:52
IT Analyst I,Parsons Corporation,"Phoenix, AZ, United States","May 15, 2026",https://icfcjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Aerospace/job/112151,2026-05-16 22:52
Investment Banking Analyst  Corporate Finance - Healthcare Services,Citizens Bank,"Boston, MA, United States","May 15, 2026",https://hcgn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/46951,2026-05-16 22:52
Investment Banking Analyst II Corporate Finance - FIG (NYC),Citizens Bank,"New York, NY, United States","May 15, 2026",https://hcgn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/46956,2026-05-16 22:52
Security Systems Analyst-Technology Support Center,Olathe Public Schools,"Olathe, KS, United States","May 15, 2026",https://fa-ewbu-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/3253,2026-05-16 22:52
Operations Analyst,Waste Management (WM),"Lodi, CA, United States","May 15, 2026",https://emcm.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/WMCareers/job/2347130,2026-05-16 22:52
"Analyst II, Audit",Waste Management (WM),"Houston, TX, United States","May 15, 2026",https://emcm.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/WMCareers/job/2347412,2026-05-16 22:52
Turquoise Ridge - Inventory Control Analyst,Barrick Mining,"Winnemucca, NV, United States","May 15, 2026",https://ehkn.fa.ca2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/240251,2026-05-16 22:52
Gen Operations Analyst,BHE (Berkshire Hathaway Energy),"Las Vegas, NV, United States","May 18, 2026",https://fa-essf-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/10004872,2026-05-18 11:03
Strategic Workforce Planning Analyst,Citizens Bank,United States,"May 18, 2026",https://hcgn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/45443,2026-05-18 13:23
Private Bank Deposits Business Insights Analyst,Citizens Bank,"New York, NY, United States","May 18, 2026",https://hcgn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/45924,2026-05-18 13:23
Third Party Risk Analyst,Citizens Bank,"Johnston, RI, United States","May 18, 2026",https://hcgn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/46952,2026-05-18 13:23
Systems Analyst Hourly - Onsite,CHS Inc,"Key West, FL, United States","May 18, 2026",https://fa-evxo-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/152522,2026-05-18 15:03
Data Entry Clerk II - FT - Days,CHS Inc,"Oro Valley, AZ, United States","May 18, 2026",https://fa-evxo-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/152780,2026-05-18 15:03
"Specialist, Quality Assurance Analyst",Pearson,United States,"May 18, 2026",https://hccz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2/job/24188,2026-05-18 15:23
Test Analyst (SDET) - Automation,Hexaware Technologies,United States,"May 18, 2026",https://fa-etqo-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/632791,2026-05-18 16:23
"Travel Analyst (Home Based) [Open to Tiers 0, 1 and 2]",UNDP (United Nations Development Programme),"New York, United States","May 18, 2026",https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/34062,2026-05-18 16:23
Data Analytics,Idaho National Laboratory,"Idaho Falls, ID, United States","May 18, 2026",https://elhe.fa.us8.oraclecloud.com/hcmUI/CandidateExperience/en/sites/PRO/job/1575,2026-05-18 17:12
Application Analyst 2,Franciscan Missionaries of Our Lady Health System (FMOL),"Baton Rouge, LA, United States","May 18, 2026",https://eqtm.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_3001/job/46774,2026-05-18 18:52
Data Analyst,Idaho National Laboratory,"Idaho Falls, ID, United States","May 18, 2026",https://elhe.fa.us8.oraclecloud.com/hcmUI/CandidateExperience/en/sites/PRO/job/1640,2026-05-18 21:03
