job_id,title,company,location,posted,url,found_at
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-03 16:16 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-03 16:16 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-03 16:31 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-03 16:31 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-03 16:31 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-03 16:46 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-03 16:46 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-03 16:46 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-03 17:01 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-03 17:01 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-03 17:01 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-03 17:16 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-03 17:16 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-03 17:16 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-03 17:31 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-03 17:31 UTC
