title,company,location,posted,experience,link,found_on
Advanced Data & Insights Analyst - Deposits Line of Business,US Bank,3 Locations,Posted Today,6-8 yrs,https://usbank.wd1.myworkdayjobs.com/en-US/US_Bank_Careers/job/Charlotte-NC/Advanced-Data---Insights-Analyst---Deposits-Line-of-Business_2026-0013841-1,2026-06-03 18:16
"Analyst, Data Analytics",LPL Financial,2 Locations,Posted Today,2+ yrs,https://lplfinancial.wd1.myworkdayjobs.com/en-US/External/job/San-Diego/Analyst--Data-Analytics_R-050817,2026-06-03 22:06
Decision Science Analyst I (Mid-Level) – Life Company Data and Analytics,USAA,2 Locations,Posted Today,8 yrs,https://usaa.wd1.myworkdayjobs.com/en-US/USAAJOBSWD/job/San-Antonio-Home-Office-I/Decision-Science-Analyst-I--Mid-Level----Life-Company-Data-and-Analytics_R0118118,2026-06-04 10:26
Supply Chain Data Analyst,Thermo Fisher Scientific,3 Locations,Posted Today,3+ yrs,https://thermofisher.wd5.myworkdayjobs.com/en-US/thermofishercareers/job/Grand-Island-New-York-USA/Supply-Chain-Data-Analyst_R-01354240,2026-06-04 12:26
Enterprise Marketing Data Analyst – Cross-Functional Insights & Visualization,SS&C Technologies,2 Locations,Posted Today,3-7 yrs,https://ssctech.wd1.myworkdayjobs.com/en-US/SSCTechnologies/job/Boston-MA---One-Post-Office-Square/Enterprise-Marketing-Data-Analyst---Cross-Functional-Insights---Visualization_R42875,2026-06-04 15:26
Data Analyst Supply Chain,The Home Depot,"STORE SUPPORT CENTER, ATLANTA - 9090",Posted Today,1-3 yrs,https://homedepot.wd5.myworkdayjobs.com/en-US/CareerDepot/job/STORE-SUPPORT-CENTER-ATLANTA---9090/Data-Analyst-Supply-Chain_Req182635,2026-06-04 15:26
Data Analyst,Texas A&M University System,"College Station, TX",Posted Today,—,https://tamus.wd1.myworkdayjobs.com/en-US/System-wide_External/job/College-Station-TX/Data-Analyst_R-093765,2026-06-04 17:06
