title,company,location,posted,experience,link,found_on
Software Engineer - Full Stack,Insulet Corporation,2 Locations,Posted 3 Days Ago,2+ yrs,https://insulet.wd5.myworkdayjobs.com/en-US/insuletcareers/job/Guadalajara-Jalisco/Software-Engineer_REQ-2026-15050,2026-05-08 10:45
Advanced Software Engineer,Invesco,2 Locations,Posted 3 Days Ago,3-5 yrs,https://invesco.wd1.myworkdayjobs.com/en-US/IVZ/job/Atlanta-Georgia/Adv-Eng--SIP_R-13382,2026-05-08 10:45
Teamlead Software Developer (m/w/d),IQVIA,2 Locations,Posted Today,—,https://iqvia.wd1.myworkdayjobs.com/en-US/IQVIA/job/Dortmund-Germany/Teamlead-Software-Developer--m-w-d-_R1520927,2026-05-08 10:45
"Software Engineer, Junior",KBR,"Chantilly, Virginia",Posted 2 Days Ago,0-5 yrs,https://kbr.wd5.myworkdayjobs.com/en-US/KBR_Careers/job/Chantilly-Virginia/Software-Engineer--Junior_R2123242,2026-05-08 10:45
Network Software Developer,KBR,"Lexington, Massachusetts",Posted 3 Days Ago,3-5 yrs,https://kbr.wd5.myworkdayjobs.com/en-US/KBR_Careers/job/Lexington-Massachusetts/Network-Software-Developer_R2123152,2026-05-08 10:45
Software Developer II for Information Services,Liberty University,Remote Location,Posted Yesterday,2+ yrs,https://liberty.wd5.myworkdayjobs.com/en-US/lu_job_board_staff/job/Remote-Location/Software-Developer-II-for-Information-Services_R0010001,2026-05-08 10:45
Software Engineer - State National,Markel Corporation,Bedford TX,Posted 3 Days Ago,4 yrs,https://markelcorp.wd5.myworkdayjobs.com/en-US/GlobalCareers/job/Bedford-TX/Software-Engineer---State-National_R0023018,2026-05-08 10:45
Software Engineer,Leidos,"Bethesda, MD",Posted 3 Days Ago,—,https://leidos.wd5.myworkdayjobs.com/en-US/External/job/Bethesda-MD/Software-Engineer_R-00174221,2026-05-08 10:45
Microsoft Power Platform Software Engineer,Markel Corporation,"Richmond, VA",Posted 2 Days Ago,4+ yrs,https://markelcorp.wd5.myworkdayjobs.com/en-US/GlobalCareers/job/Richmond-VA/Microsoft-Power-Platform-Software-Engineer_R0022994-1,2026-05-08 10:45
Associate Full- Stack Software Engineer,Manulife,2 Locations,Posted 3 Days Ago,2+ yrs,https://manulife.wd3.myworkdayjobs.com/en-US/MFCJH_Jobs/job/Boston-Massachusetts/Associate-Full--Stack-Software-Engineer_JR26030584-1,2026-05-08 10:45
Software Engineer,Leidos,"Huntsville, AL",Posted 3 Days Ago,4-8 yrs,https://leidos.wd5.myworkdayjobs.com/en-US/External/job/Huntsville-AL/Software-Engineer_R-00182564-1,2026-05-08 10:45
Software Engineer,Leidos,"Remote, US",Posted Yesterday,8+ yrs,https://leidos.wd5.myworkdayjobs.com/en-US/External/job/Remote-US/Software-Engineer_R-00182756,2026-05-08 10:45
Software Developer,Leidos,3 Locations,Posted 3 Days Ago,2-4 yrs,https://leidos.wd5.myworkdayjobs.com/en-US/External/job/Eagan-MN/Software-Developer_R-00182062,2026-05-08 10:45
Manhattan Active SCALE Software Engineer - Retail,MillerKnoll,CT - Stamford Canal St 711,Posted 2 Days Ago,3-5 yrs,https://millerknoll.wd1.myworkdayjobs.com/en-US/MillerKnoll/job/CT---Stamford-Canal-St-711/Manhattan-Active-SCALE-Software-Engineer---Retail_JR108656-1,2026-05-08 10:45
