title,company,location,posted,experience,link,found_on
Data Scientist II,Bristol-Myers Squibb,Hyderabad - TS - IN,Posted Today,3-7 yrs,https://bristolmyerssquibb.wd5.myworkdayjobs.com/en-US/BMS/job/Hyderabad---TS---IN/Data-Scientist-II_R1602059,2026-06-04 07:06
"Data Scientist II, Product Analytics",Expedia,2 Locations,Posted Today,2-4 yrs,https://expedia.wd108.myworkdayjobs.com/en-US/search/job/India---Gurgaon/Data-Scientist-II--Product-Analytics_R-103102,2026-06-04 07:06
"Data Scientist, Mid",Booz Allen Hamilton,"Springfield, VA",Posted Today,7+ yrs,https://bah.wd1.myworkdayjobs.com/en-US/BAH_Jobs/job/Springfield-VA/Data-Scientist--Mid_R0241493,2026-06-04 09:46
