title,company,location,posted,link,found_on
Business Intelligence Analyst,NVIDIA,"US, CA, Santa Clara",Posted Today,https://nvidia.wd5.myworkdayjobs.com/en-US/nvidiaexternalcareersite/job/US-CA-Santa-Clara/Business-Intelligence-Analyst_JR2014301,2026-05-02 03:04
Business Intelligence Analyst,Boeing,"USA - Auburn, WA",Posted Today,https://boeing.wd1.myworkdayjobs.com/en-US/EXTERNAL_CAREERS/job/USA---Auburn-WA/Business-Intelligence-Analyst_JR2026508713-1,2026-05-02 03:08
Business Intelligence Support Analyst,AAA The Auto Club Group,MI-HMMI Empl Work From Home,Posted Today,https://acg.wd1.myworkdayjobs.com/en-US/Careers/job/MI-HMMI-Empl-Work-From-Home/Business-Intelligence-Support-Analyst_JR16037,2026-05-02 03:25
